Username,Handle,Timestamp,Text,Comments,Likes,Retweets
Lauri Myllymaa,@lavitamy,2020-10-27T18:45:02.000Z,"1. 
@zotero
, 2. 
@ulyssesapp
, and 3. 
@obsdmd
; I think I’ve found the Archimedean point. #workflow #research #NoteTaking #organizing #writing #thought",,,
QOwnNotes,@QOwnNotes,2020-10-27T18:29:30.000Z,"New release of QOwnNotes: v20.10.10 https://qownnotes.org/changelog.html#_20-10-10… #notetaking #NextcloudQOwnNotes Changelog
Open source markdown note taking for Linux, Mac OS X and Windows, that works together with Nextcloud Notes
qownnotes.org",,,
Massimo Curatella,@maxcuratella,2020-10-27T16:12:16.000Z,"From note-taking to note-making: to develop ideas and concepts.

#notetaking #notemaking",7,,1
Tim King,@hellotimking,2020-10-27T10:42:37.000Z,"Welcome to the #Note Taking Apocalypse 

In a sea of apps, what matters most when taking notes?

If you’re like me then you’ll have found yourself often standing at 
| Read More... https://hellotimking.com/2018/06/welcome-to-the-note-taking-apocalypse/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #dokuwiki #notetaking #notetaking #onenote #wardcunninghamWelcome to the Note Taking Apocalypse | hellotimking
If you’re like me then you’ll have found yourself often standing at the front door of your app store staring at the sheer wall of note taking applications that are available at the moment.
hellotimking.com",,,
Blesl Anja,@MotionAgile,2020-10-26T19:53:23.000Z,"Today’s #viztober is >Triple bottom line<

#inktober #skribeforward #sketchnote #sketchnotes #inktobergermany #vizthink #visualthinking #sketchnoting #illustration #visualnotes #notetaking #drawing",,,3
QOwnNotes,@QOwnNotes,2020-10-26T19:02:34.000Z,"Release and blog posting automation https://qownnotes.org/blog/2020-10-26-Release-and-blog-posting-automation.html… #notetaking #NextcloudRelease and blog posting automation
Posting new releases and blog posts to Twitter and the Telegram Group is now done with the help of the free open source software Beehive.
qownnotes.org",,,
QOwnNotes,@QOwnNotes,2020-10-26T18:12:40.000Z,"New release of QOwnNotes: v20.10.9 https://qownnotes.org/changelog.html#_20-10-9… #notetaking #NextcloudQOwnNotes Changelog
Open source markdown note taking for Linux, Mac OS X and Windows, that works together with Nextcloud Notes
qownnotes.org",1,,5
Tim King,@hellotimking,2020-10-26T14:47:32.000Z,"Bear – A Three Year Journey 

A story of #note taking, enabling tech, and me

Note taking is an incredibly personal thing. Some 
| Read More... https://hellotimking.com/2020/05/bear-a-three-year-journey/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #bearapp #digitalwriting #journal #journalling #notetaking #notetaking #onlinepublishing #wikiBear – A Three Year Journey | hellotimking
Note taking is an incredibly personal thing. Some like paper, others record their voice, and then there are those brave souls who wade into the hundreds of applications available that strive to be...
hellotimking.com",,,
Learning Skills and Development,@lbwritelearn,2020-10-26T14:00:29.000Z,Katelyn has written a new blog post for us about using OneNote: https://lblearningservices.wordpress.com Have you used OneNote yet? #notetaking #onenote,,2,1
Metodi&Strategie,@MetodiStrategie,2020-10-26T13:51:50.000Z,"È sempre utile prendere appunti nella didattica a distanza? #tesi #laurea #laureamagistrale #università #studio #corsidilaurea #accademia #dottorato #PhD #CornelMethiod #notetaking #prendereappunti 
https://metodiestrategie.com/?s=corsi+online",,,
