Username,Handle,Timestamp,Text,Comments,Likes,Retweets
KickbaseKing,@KickbaseKing,2020-10-27T18:40:38.000Z,"Replying to 
@vincethebinceWeil die Trainer einen hassen... ",,,
KickbaseKing,@KickbaseKing,2020-10-27T18:39:59.000Z,"Replying to 
@4_everfcb
 and 
@ZoltraxxdEine sehr geile App ",,,1
KickbaseKing,@KickbaseKing,2020-10-27T18:38:25.000Z,"Replying to 
@runoret0
 and 
@FCBayernAls wenn Müller nicht sowieso immer gut Punkte macht ",,,
KickbaseKing,@KickbaseKing,2020-10-27T18:34:14.000Z,"(5/5) #Kalajdzic: Mit 153 Punkten im Durchschnitt nicht gerade ein Geheimtipp, aber diesen Spieltag geht es für den #VFB nach Schalke zum #S04
. Da Kalajdzic an fast allen Toren des #VFB irgendwie seine Füße im Spiel hat ein guter Tipp. Kostet sogar noch nur ca. 16 mio. #kickbase",,,1
KickbaseKing,@KickbaseKing,2020-10-27T18:29:56.000Z,"(4/5) #Henrichs: Nun also doch ein CL-Teilnehmer. Bleibt aber der einzige, versprochen 
 #RBL spielt aktuell wieder sehr stabil und durch die Verletzung von #Klostermann sollte Henrichs erstmal auf rechts spielen. Für ca. 10 mio. kann man da nichts falsch machen #kickbaseGIF",,,
KickbaseKing,@KickbaseKing,2020-10-27T18:22:49.000Z,"(3/5) #Sane: Nein nicht Leroy! #S04
 spielt an diesem Wochenende gegen Stuttgart und hofft dabei auf den ersten Sieg. Sane kostet noch unter 10 mio. und punktet allgemein auch stabil, wenn #S04
 (mal wieder) nicht gewinnt #kickbaseGIF",,,1
Herr Vorragend,@ElRey_MUC,2020-10-27T18:13:45.000Z,"Wehe die treten Hernandez kaputt, ist seit Kurzem der dritte Bayern-Spieler in meinem #kickbase-Kader. ",,,2
KickbaseKing,@KickbaseKing,2020-10-27T18:11:15.000Z,"(2/5) #Caliguiri: Für den #FCA geht es dieses Wochenende gegen Mainz, was allgemein viele Punkte verspricht. Dazu punktet caliguiri diese Saison sowieso sehr stabil und ist der wahrscheinlich wichtigste Spieler in Augsburgs Offensive. Eine gute Option abseits der TopklubsGIF",,,1
KickbaseKing,@KickbaseKing,2020-10-27T18:06:11.000Z,(1/5) Andre Silva: Nach dem erwarteten schlechten Bayern Spiel in der letzten Woche geht es für #SGE diese Woche gegen #SVW Bremen. Da #silva außer gegen Bayern bis jetzt immer gut gepunktet hat traue ich ihm auch an diesem Spieltag wieder gut was zu #kickbaseGIF,,1,1
KickbaseKing,@KickbaseKing,2020-10-27T18:01:42.000Z,Diese Woche habe ich versucht mich bei den Spieltagstipps etwas von den Europokalvereinen fernzuhalten und mich eher auf andere Vereine fokussiert #kickbase #BL #spieltag6,,,
百物語,@kickbase,2020-10-27T15:51:43.000Z,"Replying to 
@kurosaurus香りはライトで柑橘系なんですが、味は割としっかりしてて良いですね。

これは当たりかもしれません。",,,
kurosawa,@kurosaurus,2020-10-27T15:50:47.000Z,"Replying to 
@kickbaseジンもうまそうですねー",1,,
百物語,@kickbase,2020-10-27T15:47:33.000Z,"Replying to 
@kurosaurusそっちｗ",1,,
kurosawa,@kurosaurus,2020-10-27T15:47:23.000Z,"Replying to 
@kickbaseきれいなノードですね！",1,,1
百物語,@kickbase,2020-10-27T15:46:44.000Z,なるほど。確かにミカンのボタニカルが前に出てる。苦味も感じるし、複雑な味わいだなー。,1,,3
TTa_KaNo_TTi,@TTa_KaNo_TTi,2020-10-27T15:20:50.000Z,"Replying to 
@kickbase無限に飲めそうです！",,,
百物語,@kickbase,2020-10-27T15:19:26.000Z,"Replying to 
@TTa_KaNo_TTi朝まで飲みますか…！",1,,
TTa_KaNo_TTi,@TTa_KaNo_TTi,2020-10-27T15:17:06.000Z,"Replying to 
@kickbaseぜひ拝聴したいですねｗ",1,,
百物語,@kickbase,2020-10-27T15:07:58.000Z,"僕は天才じゃないので「苦しみながら覚えるHoudini」という内容なら無限に話ができると思う。

それでも好きだし可能性を感じるからずっとやってるんだけどね。

ありがとう。良いツールです！",1,1,5
百物語,@kickbase,2020-10-27T15:04:50.000Z,"もうひとつ。

3. 各コンポーネントは参照関係がある

これはジオメトリを操作する以上切っても切れない。

あとはアトリビュートの操作が当然重要になるけど、これはVEXに限らないHoudiniを貫く考え方なので別途ということで。",,,4
百物語,@kickbase,2020-10-27T15:02:59.000Z,"VEXという言語を学ぶ上で大切なことって下記に集約されていると思っている。

1. 並列処理である（各コンポーネントは実行タイミングで他の状態を知らない）

2. 言語仕様を学ぶと言うより適切な関数とその利用方法を知る

これに尽きるんじゃないかな。特に重要なのが1。これが最初わからなかった。",1,,13
百物語,@kickbase,2020-10-27T14:46:44.000Z,"このチュートリアルサービス節操なくて好き。Pluralsight IQ
Free technology and developer skill assessments! See how you measure up with Pluralsight IQ skill assessments. Take assessments for some of the most in-demand languages like JavaScript, Python, Maya...
pluralsight.com",,,1
百物語,@kickbase,2020-10-27T14:41:23.000Z,"これ別に冗談や茶化してるわけじゃなくて、僕はHoudiniを始める前にJSやRuby、Python書きだったんだけど、インタプリタ型言語（実行環境整備が簡単）だからという理由でそれを先に学べというのは暴論だと思う。

VEXを学ぶためにOOPを先に学ぶのは弊害すらある。ぼくはそこでハマったからなー。",,1,2
百物語,@kickbase,2020-10-27T13:41:20.000Z,海外のフォーラムで「プログラム経験ないんだけどVEX学ぶのに一番いい方法って何？」ってスレがあって、PythonやれJSやれProcessingやれとか色々出てるんだけど、VEX覚えたいならVEXをやるのが一番なのでは。,1,3,13
DerKickbaseProfessor,@DerKickbase,2020-10-27T13:35:21.000Z,"Replying to 
@VfBReichts für einen Einsatz am Freitag?",,,
百物語,@kickbase,2020-10-27T11:11:32.000Z,"第2回 Houdiniゆるゆる会発表者の皆様

「第2回 Houdiniゆるゆる会シーンファイル共有について」というタイトルでConnpassメッセージをお送りさせていただきました。

公開するシーンファイルについてのご連絡です。ご一読の上該当する方は対応のほどよろしくおねがいします。 #YuruHoudini",,1,3
